O*NET-SOC Code,Task,Category,Original Task ID,Original Task,Date,Domain Source
15-2021.00,Mentor others on mathematical techniques.,New,,,08/2021,Occupational Expert
17-1011.00,Inspect the condition of structures.,New,,,08/2021,Occupational Expert
17-1021.00,"Estimate resources, such as production hours, required for projects.",New,,,08/2018,Incumbent
17-2011.00,Develop software for aerospace systems.,New,,,07/2015,Incumbent
17-2021.00,Communicate results in peer-reviewed research articles or at workshops or conferences.,New,,,08/2024,Occupational Expert
17-2041.00,Develop computer models of chemical processes.,New,,,07/2017,Occupational Expert
17-2111.02,Review building plans to verify compliance with fire code.,New,,,08/2021,Occupational Expert
17-2112.01,Assess systems to identify and quantify risk factors.,New,,,08/2024,Occupational Expert
17-2141.00,Investigate equipment failures or diagnose faulty operations and recommend or perform remedial actions.,Revision,20734.0,Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.,08/2024,Incumbent
17-2161.00,"Recommend preventive measures to be taken in handling nuclear technology based on data obtained from operations monitoring, systematic analysis, or evaluation of test results.",Revision,5386.0,"Recommend preventive measures to be taken in the handling of nuclear technology, based on data obtained from operations monitoring or from evaluation of test results.",08/2024,Occupational Expert
17-2199.10,Analyze meteorological data.,New,,,07/2012,Incumbent
17-2199.10,Design electrical interconnections.,New,,,07/2012,Incumbent
17-2199.10,Design wind turbine components.,New,,,07/2012,Incumbent
17-2199.10,Estimate energy production by analyzing wind data.,New,,,07/2012,Incumbent
17-3013.00,Create bills of materials.,New,,,07/2017,Incumbent
19-1021.00,Analyze biochemical or biophysical data.,New,,,08/2020,Occupational Expert
19-1022.00,"Perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection and interpret the results.",Revision,15213.0,"Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.",08/2024,Occupational Expert
19-1031.02,Apply herbicide to eliminate harmful plants.,New,,,08/2020,Incumbent
19-1031.03,Train staff and volunteers on park programs.,Revision,23959.0,Train staff on park programs.,08/2023,Incumbent
19-1041.00,Teach epidemiology to students in public health programs.,New,,,08/2023,Occupational Expert
19-2011.00,Write and review scientific proposals and research papers.,Revision,20049.0,Review scientific proposals and research papers.,08/2024,Occupational Expert
19-2012.00,Perform peer reviews of scientific papers.,New,,,08/2020,Incumbent
19-2032.00,"Research or design methods of processing, forming, and firing materials to develop products, such as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",Revision,9094.0,"Research methods of processing, forming, and firing materials to develop such products as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",08/2024,Occupational Expert
19-2032.00,Review and select materials for products to meet product design and cost requirements.,New,,,08/2024,Occupational Expert
19-2041.03,Conduct life cycle assessments of products.,New,,,08/2021,Occupational Expert
19-2043.00,"Prepare reports or presentations describing research results, using illustrations, maps, appendices, and other information.",Revision,18618.0,"Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",08/2018,Occupational Expert
19-3011.00,Construct and manage economic datasets.,New,,,08/2024,Occupational Expert
19-3011.00,Present research at seminars and conferences.,New,,,08/2024,Occupational Expert
19-3011.00,"Review documents written by others, such as referee reports.",Revision,23988.0,Review documents written by others.,08/2024,Occupational Expert
19-3032.00,Develop and administer surveys to employees of organizations.,New,,,08/2023,Occupational Expert
19-3032.00,Teach industrial-organizational psychology courses to undergraduate or graduate students.,New,,,08/2023,Occupational Expert
19-3039.03,Provide feedback to patients and their families on the results of neuropsychological evaluations and recommendations.,New,,,08/2024,Occupational Expert
19-3041.00,Mentor sociology students.,New,,,08/2023,Occupational Expert
19-3041.00,Review sociological research and articles.,New,,,08/2023,Occupational Expert
19-3091.00,"Write, present, and publish research findings for a variety of specialized and general audiences.",Revision,22234.0,Write about and present research findings for a variety of specialized and general audiences.,08/2024,Occupational Expert
19-4051.02,"Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",Revision,7608.0,"Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",07/2014,Incumbent
19-4051.02,Document results from radiation and contamination surveys.,New,,,07/2014,Incumbent
19-4051.02,"Inspect, test, and maintain respiratory protection equipment.",New,,,07/2014,Incumbent
19-4051.02,Write radiological work permits.,New,,,07/2014,Incumbent
19-4061.00,Write grant proposals.,New,,,08/2019,Incumbent
19-4071.00,Develop contracts related to operations.,New,,,08/2018,Incumbent
19-4071.00,Monitor environmental conditions such as temperature or humidity.,New,,,08/2018,Incumbent
19-4071.00,Write reports on forestry or conservation activities.,New,,,08/2018,Incumbent
19-4092.00,Enter data into databases.,New,,,08/2023,Incumbent
21-1013.00,Diagnose mental and emotional disorders in clients.,New,,,08/2020,Incumbent
21-1022.00,Conduct psychological assessment of clients.,New,,,08/2021,Occupational Expert
21-1093.00,Teach parenting techniques to family members.,New,,,08/2020,Incumbent
23-1023.00,Issue search or arrest warrants.,Revision,21182.0,Issue arrest warrants.,08/2020,Incumbent
23-2011.00,Manage attorneys' calendars and schedule meetings.,New,,,08/2024,Incumbent
23-2011.00,"Request, review, and summarize relevant records for the cases.",New,,,08/2024,Incumbent
25-1022.00,Hire adjunct faculty.,New,,,08/2019,Incumbent
25-1042.00,Write letters of recommendation for students.,New,,,08/2019,Incumbent
25-1043.00,Monitor research program budgets.,New,,,08/2020,Incumbent
25-1051.00,"Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, atmospheric thermodynamics, and physics.",Revision,5849.0,"Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, and atmospheric thermodynamics.",08/2019,Incumbent
25-1054.00,Review articles to determine their suitability for publication.,New,,,08/2019,Incumbent
25-1061.00,Hire new faculty.,New,,,08/2019,Incumbent
25-1066.00,Mentor other faculty members.,New,,,08/2019,Incumbent
25-1067.00,Give presentations to community groups.,New,,,08/2019,Incumbent
25-1067.00,Review manuscripts.,New,,,08/2019,Incumbent
25-1067.00,Write letters of recommendation for students.,New,,,08/2019,Incumbent
25-1081.00,Deliver presentations at professional conferences.,New,,,08/2019,Incumbent
25-1082.00,Serve as a mentor.,New,,,08/2019,Incumbent
25-1121.00,Direct theater productions.,New,,,08/2019,Incumbent
25-1121.00,Mentor students.,New,,,08/2019,Incumbent
25-1125.00,Evaluate faculty members.,New,,,08/2019,Incumbent
25-1193.00,Monitor department budgets.,New,,,08/2019,Incumbent
25-2059.01,Discuss with education professionals the physical abilities or disabilities of students and the accommodations required to enhance their school performance.,Revision,17015.0,Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.,08/2020,Occupational Expert
25-4011.00,Write grants and apply for funding to support archival work.,New,,,08/2024,Occupational Expert
25-4031.00,Open and close the library.,New,,,07/2017,Incumbent
25-9044.00,Correspond with students through email to address their questions and concerns.,New,,,07/2016,Incumbent
27-1012.00,Pack products for shipping.,New,,,07/2016,Occupational Expert
27-1025.00,"Review contractor bids to subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.",Revision,1739.0,"Subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.",08/2024,Occupational Expert
27-2032.00,Plan and direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.,Revision,11028.0,Direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.,08/2024,Occupational Expert
27-3041.00,Respond to questions from the public.,New,,,07/2017,Incumbent
27-3041.00,"Write text, such as headlines, stories, articles, editorials, or newsletters.",Revision,21000.0,"Write text, such as stories, articles, editorials, or newsletters.",07/2017,Incumbent
27-3092.00,File exhibits.,New,,,08/2020,Incumbent
27-3092.00,Perform secretarial tasks for the court.,New,,,08/2020,Incumbent
27-3092.00,Swear in witnesses.,New,,,08/2020,Incumbent
27-4011.00,Purchase audio or video equipment.,New,,,08/2018,Incumbent
27-4012.00,Develop budgets.,New,,,08/2019,Incumbent
27-4021.00,Engage in research to learn technological developments and techniques or to develop new photographic procedures and materials.,Revision,9363.0,Engage in research to develop new photographic procedures and materials.,08/2021,Occupational Expert
27-4032.00,Write scripts.,New,,,08/2020,Incumbent
29-1011.00,Provide guidance to patients on exercises they can perform to improve mobility.,New,,,07/2013,Incumbent
29-1011.00,Take x-rays.,New,,,07/2013,Incumbent
29-1022.00,Evaluate and treat problems related to the temperomandibular joint (TMJ).,New,,,07/2012,Incumbent
29-1024.00,Consult with patients about treatment options.,New,,,08/2024,Incumbent
29-1024.00,Create treatment plans for patients.,New,,,08/2024,Incumbent
29-1071.00,Refer patients to other healthcare providers.,New,,,08/2021,Occupational Expert
29-1122.00,Recommend adaptive equipment to individuals to increase independence in daily living activities.,New,,,08/2021,Occupational Expert
29-1126.00,Attend high-risk and caesarian section infant deliveries to provide neonatal respiratory care as needed.,New,,,07/2013,Incumbent
29-1141.02,Mentor nursing students.,New,,,08/2023,Occupational Expert
29-1161.00,Evaluate mental health of patients.,New,,,08/2021,Occupational Expert
29-1161.00,Screen patients for gynecologic conditions such as infections.,New,,,08/2021,Occupational Expert
29-1211.00,Place invasive intravascular monitors into patients.,New,,,07/2012,Incumbent
29-1211.00,Teach anesthesiology principles to residents.,New,,,07/2012,Incumbent
29-1223.00,Perform mental health evaluations to provide information to courts of law on patients' mental states.,New,,,07/2014,Incumbent
29-2011.04,"Cut sections of body tissues for microscopic examination, using microtomes or cryostats.",Revision,22780.0,"Cut sections of body tissues for microscopic examination, using microtomes.",08/2024,Occupational Expert
29-2011.04,Select and maintain controls for stains.,New,,,08/2024,Occupational Expert
29-2012.00,Perform quality control analyses to ensure accuracy of test results.,New,,,07/2014,Incumbent
29-2031.00,"Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.",Revision,15234.0,"Perform general administrative tasks, such as scheduling appointments or ordering supplies or equipment.",07/2014,Incumbent
29-2033.00,Schedule patients for nuclear medicine exams and procedures.,New,,,07/2013,Incumbent
29-2055.00,Schedule surgical procedures for patients.,New,,,07/2013,Incumbent
29-2055.00,Transport patients to and from the operating room.,New,,,07/2013,Incumbent
29-2057.00,Order supplies.,New,,,08/2020,Occupational Expert
29-2057.00,"Perform examinations using ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.",Revision,19250.0,"Operate ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.",08/2020,Occupational Expert
29-9091.00,Develop emergency action plans for sports facilities.,New,,,08/2021,Incumbent
29-9099.01,Test patients for sexually transmitted infections.,New,,,08/2021,Incumbent
31-1121.00,Assist patients with toileting and incontinent care.,New,,,07/2014,Incumbent
31-1121.00,Feed patients.,New,,,07/2014,Incumbent
31-1122.00,"Administer bedside or personal care, such as assistance with ambulation, dressing, feeding, or personal hygiene.",Revision,2370.0,"Administer bedside or personal care, such as ambulation or personal hygiene assistance.",08/2023,Incumbent
31-2012.00,Sanitize equipment.,New,,,08/2020,Incumbent
31-9093.00,Order medical supplies for healthcare facilities or laboratories.,New,,,07/2014,Incumbent
31-9097.00,Confirm the identities of patients by verifying their personal information.,New,,,08/2019,Occupational Expert
33-1012.00,Read and review subordinates' reports to ensure legal standards are met and there are no mistakes.,New,,,08/2024,Incumbent
33-3012.00,Conduct security checks of the premises.,New,,,08/2023,Incumbent
33-3021.02,Take fingerprints.,New,,,08/2018,Incumbent
33-3021.06,Make recommendations for investigations and subpoenas.,New,,,08/2024,Occupational Expert
33-3041.00,"Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic or pedestrians.",Revision,7949.0,"Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic.",07/2016,Incumbent
33-9021.00,Serve documents to parties named in legal proceedings.,New,,,07/2015,Incumbent
35-2011.00,Take out garbage.,New,,,08/2019,Incumbent
35-2021.00,"Check and log refrigerator, freezer, and cooler temperatures.",New,,,08/2024,Incumbent
35-3011.00,Provide customers with directions or answers to questions.,New,,,07/2017,Incumbent
35-9011.00,"Prepare food, such as sandwiches, for customers.",New,,,08/2021,Incumbent
37-1012.00,Repair irrigation systems.,New,,,08/2021,Incumbent
37-3011.00,Move furniture.,New,,,07/2015,Incumbent
37-3012.00,Establish driving routes for pesticide applications.,New,,,07/2015,Incumbent
37-3012.00,"Record information about pesticide applications, such as the type used and amount applied.",New,,,07/2015,Incumbent
39-2011.00,Teach owners how to train their dogs.,New,,,07/2014,Incumbent
39-2011.00,Teach people with visual impairments to use guide dogs.,New,,,07/2014,Incumbent
39-2021.00,Scuba dive in aquariums to perform exhibit maintenance.,New,,,08/2019,Incumbent
39-2021.00,Train volunteers and facility staff.,New,,,08/2019,Incumbent
39-3012.00,Provide race or game information to patrons.,New,,,07/2014,Incumbent
39-3012.00,Serve drinks to patrons.,New,,,07/2014,Incumbent
39-3021.00,Download digital keys to unlock digital movie files.,New,,,08/2020,Incumbent
39-3021.00,"Ingest digital content, such as films, advertisements, or trailers, into servers or projectors.",New,,,08/2020,Incumbent
39-3092.00,Create patterns for costumes based on designer's drawings.,New,,,07/2016,Incumbent
39-3092.00,Schedule costume fittings for actors.,New,,,07/2016,Incumbent
39-3093.00,Maintain or repair athletic equipment.,New,,,07/2011,Incumbent
39-5091.00,Clean supplies such as makeup brushes.,New,,,08/2018,Occupational Expert
39-5093.00,"Assist hair stylists with chemical services, such as neutralizing perms and applying hair color.",New,,,06/2008,Incumbent
39-5093.00,Launder and fold the towels that are used for drying customers' hair.,New,,,06/2008,Incumbent
39-5093.00,"Refill and stock work stations with supplies, such as shampoos and conditioners.",New,,,06/2008,Incumbent
39-5093.00,Rinse out hair color or permanent solutions from customers' hair.,New,,,06/2008,Incumbent
39-5093.00,Sweep hair from the salon floor.,New,,,06/2008,Incumbent
39-6012.00,Assist guests with special needs by providing equipment such as wheelchairs.,New,,,08/2020,Occupational Expert
39-6012.00,"Book airline or train tickets, reserve rental cars, or arrange shuttle service for guests.",New,,,08/2020,Occupational Expert
39-9041.00,Advise student organizations.,New,,,08/2019,Incumbent
41-4011.07,Log client information and sales leads into tracking documents or software.,New,,,08/2024,Incumbent
41-9091.00,Contact customers to ensure their satisfaction with products or services.,New,,,08/2018,Occupational Expert
41-9091.00,Train new recruits or other employees.,New,,,08/2018,Occupational Expert
43-4121.00,Hire library staff such as student assistants.,New,,,08/2018,Incumbent
43-4171.00,"Enter and update databases of contact information, such as names, addresses, and phone numbers.",New,,,08/2023,Incumbent
43-5041.00,Dig dirt away from meters to take readings.,New,,,07/2016,Incumbent
43-5041.00,Install new or replace broken meters.,New,,,07/2016,Incumbent
43-5051.00,Stock lobby with retail merchandise.,New,,,07/2016,Incumbent
43-6011.00,Keep track of employees' time.,New,,,07/2017,Incumbent
43-9081.00,Check the facts of stories using the internet.,New,,,07/2016,Incumbent
43-9081.00,"Design page layouts using text, photographs, graphics, and other elements.",New,,,07/2016,Incumbent
43-9111.00,Present results of statistical analyses to stakeholders.,New,,,07/2015,Incumbent
43-9111.00,Write code for statistical applications.,New,,,07/2015,Incumbent
45-4011.00,Create field maps using geographic information systems technology.,New,,,08/2023,Incumbent
45-4023.00,Move logs using heavy equipment such as log loaders.,New,,,07/2017,Incumbent
47-2011.00,"Conduct pressure tests on vessels, such as boilers.",New,,,07/2015,Incumbent
47-2041.00,Cut and install vinyl composition tile or vinyl base.,New,,,07/2011,Incumbent
47-2141.00,"Clean tools and equipment, such as brushes and rollers.",New,,,07/2014,Incumbent
47-2141.00,Hang wallpaper.,New,,,07/2014,Incumbent
47-2171.00,Unload rebar from trucks.,New,,,07/2015,Incumbent
47-2171.00,"Use forklifts or cranes to move construction material, such as rebar.",New,,,07/2015,Incumbent
47-2221.00,"Assemble or inspect hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.",Revision,11554.0,"Assemble hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.",07/2015,Incumbent
47-2221.00,"Lift steel beams, girders, or columns using cranes or forklifts, or by signaling hoisting equipment operators to lift or position structural steel members.",Revision,20795.0,"Hoist steel beams, girders, or columns into place, using cranes or signaling hoisting equipment operators to lift and position structural steel members.",07/2015,Incumbent
47-3012.00,Cut or weld metal.,New,,,07/2013,Incumbent
47-4011.00,Inspect structures to determine cause and origin of damage.,New,,,08/2024,Occupational Expert
47-4011.01,Evaluate the energy performance of buildings using modeling software.,New,,,08/2022,Occupational Expert
47-4071.00,"Pump, clean, and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.",Revision,11610.0,"Clean and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.",07/2017,Incumbent
47-5013.00,"Maintain and perform safety inspections on rigs, equipment, and other tools.",Revision,20451.0,Maintain and perform safety inspections on equipment and tools.,07/2013,Incumbent
47-5043.00,Check roof or ribs for hazardous conditions.,New,,,07/2017,Incumbent
47-5043.00,"Clean equipment, such as dust collectors.",New,,,07/2017,Incumbent
49-2095.00,"Calibrate instruments, such as transmitters.",New,,,07/2017,Incumbent
49-3051.00,Explain repair procedures to customers.,New,,,07/2015,Incumbent
49-3051.00,"Repair or replace engine mechanical equipment, such as power tilts, water pumps, bilge pumps, or power take-offs.",Revision,13770.0,"Repair engine mechanical equipment, such as power tilts, bilge pumps, or power take-offs.",07/2015,Incumbent
49-3052.00,Diagnose electrical problems.,New,,,08/2021,Incumbent
49-3091.00,Estimate costs of repairing bicycles and write service tickets.,New,,,07/2016,Incumbent
49-3091.00,Make adjustments to bicycles to improve customer fit and riding position.,New,,,07/2016,Incumbent
49-9043.00,"Troubleshoot electrical, hydraulic, or mechanical equipment and machines.",New,,,08/2024,Incumbent
49-9044.00,"Inventory and store parts, tools, and equipment.",New,,,08/2024,Occupational Expert
49-9045.00,Reline furnaces using ramming material.,New,,,06/2007,Incumbent
49-9052.00,"Set up service for customers, installing, connecting, testing, or adjusting equipment, such as digital subscriber line modems.",Revision,11850.0,"Set up service for customers, installing, connecting, testing, or adjusting equipment.",07/2015,Incumbent
49-9061.00,"Adjust or repair cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.",Revision,8437.0,"Adjust cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.",07/2015,Incumbent
51-2041.00,Troubleshoot and repair electrical or mechanical equipment.,New,,,08/2024,Incumbent
51-3021.00,Clean and sanitize meat cases and cutting equipment.,New,,,07/2016,Incumbent
51-3022.00,Clean meat cutting equipment.,New,,,07/2017,Incumbent
51-4031.00,"Use equipment designed to join sheet metal, such as spot welders.",New,,,07/2015,Incumbent
51-4111.00,Troubleshoot malfunctions in manufacturing equipment.,New,,,08/2021,Incumbent
51-5111.00,Correct color in photographs or digital images.,New,,,07/2016,Incumbent
51-6051.00,"Patch materials, such as cotton or leather.",New,,,08/2024,Incumbent
51-9011.00,Load products into tanks for shipment.,New,,,07/2015,Incumbent
51-9081.00,Meet with dentists or patients to discuss dental appliances.,New,,,08/2022,Incumbent
51-9081.00,Order parts or materials needed to make dental appliances.,New,,,08/2022,Incumbent
51-9081.00,Scan dental models to create digital files.,New,,,08/2022,Incumbent
51-9081.00,Stain porcelain on dental appliances to match the color of patients' teeth.,New,,,08/2022,Incumbent
51-9082.00,Order parts or supplies for orthotic or prosthetic devices.,New,,,07/2015,Incumbent
51-9083.00,Tint lenses according to customer specifications.,New,,,07/2015,Incumbent
51-9151.00,Adjust digital images using software.,New,,,07/2017,Incumbent
51-9162.00,Order tooling for jobs.,New,,,07/2016,Incumbent
51-9195.05,"Apply glazes to pottery pieces, using tools such as spray guns.",Revision,21211.0,"Mix and apply glazes to pottery pieces, using tools, such as spray guns.",08/2020,Incumbent
51-9195.05,Decorate pottery using tools such as brushes.,New,,,08/2020,Incumbent
51-9195.05,Load and unload pottery from kilns.,New,,,08/2020,Incumbent
51-9195.05,Mix chemicals according to recipes to create glazes.,Revision,21211.0,"Mix and apply glazes to pottery pieces, using tools, such as spray guns.",08/2020,Incumbent
53-2021.00,"Monitor, direct, or sequence the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.",Revision,12729.0,Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.,07/2014,Incumbent
53-2022.00,Inspect airfield conditions to ensure safety and compliance with federal regulatory requirements.,Revision,23939.0,Inspect airfield conditions to ensure compliance with federal regulatory requirements.,08/2021,Incumbent
53-2022.00,Issue notices to advise flight crews of airfield status.,New,,,08/2021,Incumbent
53-2022.00,Train operations staff on topics such as driving on airfields and security identification display area (SIDA) procedures.,Revision,10618.0,Train operations staff.,08/2021,Incumbent
53-7021.00,Inspect crane site conditions to determine ground stability.,New,,,07/2015,Incumbent
53-7031.00,"Perform maintenance on dredge equipment, such as changing engine oil.",New,,,06/2008,Incumbent
53-7062.00,Inspect products for damage or leaks.,New,,,08/2024,Incumbent
