Title,Description,Skill: Active Learning,Skill: Active Listening,Skill: Complex Problem Solving,Skill: Coordination,Skill: Critical Thinking,Skill: Equipment Maintenance,Skill: Equipment Selection,Skill: Installation,Skill: Instructing,Skill: Judgment and Decision Making,Skill: Learning Strategies,Skill: Management of Financial Resources,Skill: Management of Material Resources,Skill: Management of Personnel Resources,Skill: Mathematics,Skill: Monitoring,Skill: Negotiation,Skill: Operation and Control,Skill: Operations Analysis,Skill: Operations Monitoring,Skill: Persuasion,Skill: Programming,Skill: Quality Control Analysis,Skill: Reading Comprehension,Skill: Repairing,Skill: Science,Skill: Service Orientation,Skill: Social Perceptiveness,Skill: Speaking,Skill: Systems Analysis,Skill: Systems Evaluation,Skill: Technology Design,Skill: Time Management,Skill: Troubleshooting,Skill: Writing,Knowledge: Administration and Management,Knowledge: Administrative,Knowledge: Biology,Knowledge: Building and Construction,Knowledge: Chemistry,Knowledge: Communications and Media,Knowledge: Computers and Electronics,Knowledge: Customer and Personal Service,Knowledge: Design,Knowledge: Economics and Accounting,Knowledge: Education and Training,Knowledge: Engineering and Technology,Knowledge: English Language,Knowledge: Fine Arts,Knowledge: Food Production,Knowledge: Foreign Language,Knowledge: Geography,Knowledge: History and Archeology,Knowledge: Law and Government,Knowledge: Mathematics,Knowledge: Mechanical,Knowledge: Medicine and Dentistry,Knowledge: Personnel and Human Resources,Knowledge: Philosophy and Theology,Knowledge: Physics,Knowledge: Production and Processing,Knowledge: Psychology,Knowledge: Public Safety and Security,Knowledge: Sales and Marketing,Knowledge: Sociology and Anthropology,Knowledge: Telecommunications,Knowledge: Therapy and Counseling,Knowledge: Transportation,Ability: Arm-Hand Steadiness,Ability: Auditory Attention,Ability: Category Flexibility,Ability: Control Precision,Ability: Deductive Reasoning,Ability: Depth Perception,Ability: Dynamic Flexibility,Ability: Dynamic Strength,Ability: Explosive Strength,Ability: Extent Flexibility,Ability: Far Vision,Ability: Finger Dexterity,Ability: Flexibility of Closure,Ability: Fluency of Ideas,Ability: Glare Sensitivity,Ability: Gross Body Coordination,Ability: Gross Body Equilibrium,Ability: Hearing Sensitivity,Ability: Inductive Reasoning,Ability: Information Ordering,Ability: Manual Dexterity,Ability: Mathematical Reasoning,Ability: Memorization,Ability: Multilimb Coordination,Ability: Near Vision,Ability: Night Vision,Ability: Number Facility,Ability: Oral Comprehension,Ability: Oral Expression,Ability: Originality,Ability: Perceptual Speed,Ability: Peripheral Vision,Ability: Problem Sensitivity,Ability: Rate Control,Ability: Reaction Time,Ability: Response Orientation,Ability: Selective Attention,Ability: Sound Localization,Ability: Spatial Orientation,Ability: Speech Clarity,Ability: Speech Recognition,Ability: Speed of Closure,Ability: Speed of Limb Movement,Ability: Stamina,Ability: Static Strength,Ability: Time Sharing,Ability: Trunk Strength,Ability: Visual Color Discrimination,Ability: Visualization,Ability: Wrist-Finger Speed,Ability: Written Comprehension,Ability: Written Expression,Skill Profile,Knowledge Profile,Ability Profile
Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",3.25,4.0,3.88,3.12,3.88,1.88,1.88,1.0,3.0,3.88,2.88,2.25,2.0,3.0,3.75,3.25,2.75,2.62,3.0,3.12,2.88,2.0,2.5,4.0,1.88,3.38,2.75,3.12,4.0,3.75,3.88,2.75,3.0,2.12,4.0,3.15,2.65,4.1,3.35,3.6,2.65,4.5,3.11,4.35,2.58,3.1,4.85,3.85,1.15,3.63,1.9,3.15,1.45,2.75,4.25,3.9,1.2,2.45,1.4,4.25,3.55,1.75,3.1,1.95,1.85,2.7,1.15,2.4,2.0,2.62,3.75,2.25,4.0,2.12,1.0,1.5,1.38,1.75,3.0,2.0,3.0,3.5,1.62,1.5,1.5,2.62,4.0,3.75,1.88,3.38,2.25,2.0,3.62,1.5,3.25,4.0,4.0,3.38,2.88,1.88,3.88,1.88,2.0,1.88,3.0,1.75,2.0,3.62,3.5,2.25,1.0,1.5,1.88,2.88,1.88,2.75,3.62,1.5,4.0,4.0,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Systems Evaluation, Mathematics, Systems Analysis","Engineering and Technology, Computers and Electronics, Design, Mathematics, Physics, Biology, Mechanical, English Language, Food Production, Chemistry","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning, Problem Sensitivity, Information Ordering, Category Flexibility, Visualization"
Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",3.75,4.0,3.88,3.0,3.88,2.12,2.75,2.25,3.12,3.88,3.25,2.12,2.25,3.0,3.88,3.75,2.88,2.0,3.75,2.88,2.75,3.12,3.12,4.0,2.5,3.88,2.88,3.0,4.0,3.62,3.5,3.38,3.12,2.88,4.0,3.13,2.35,3.82,1.64,3.17,2.26,4.48,2.3,3.95,2.09,3.65,4.57,3.78,1.43,1.43,1.74,1.78,1.27,2.3,4.43,2.91,3.74,2.7,1.52,3.95,2.65,2.3,2.78,1.96,2.0,2.57,2.04,1.61,2.62,2.12,3.62,2.12,4.0,2.12,1.0,1.0,1.0,1.62,2.88,2.12,3.38,3.75,1.0,1.0,1.0,1.88,4.12,3.88,2.12,3.75,2.75,1.38,3.88,1.0,3.38,4.0,4.0,3.62,3.0,1.12,4.0,1.25,1.25,1.12,3.12,1.0,1.12,3.38,3.5,2.75,1.0,1.0,1.12,2.62,1.62,2.75,3.5,1.75,4.0,4.0,"Reading Comprehension, Active Listening, Writing, Speaking, Mathematics, Science, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Active Learning","Engineering and Technology, Computers and Electronics, Mathematics, Design, Physics, Biology, English Language, Medicine and Dentistry, Education and Training, Chemistry","Inductive Reasoning, Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Information Ordering, Near Vision, Fluency of Ideas"
Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",3.75,3.38,4.12,3.0,4.0,1.0,2.12,1.0,3.0,3.88,2.88,2.5,2.62,2.75,3.88,3.25,3.0,2.25,3.62,3.12,3.0,2.38,2.88,3.88,1.0,4.25,2.88,3.0,3.62,3.88,3.75,2.75,3.0,3.0,3.25,2.64,1.91,2.55,2.55,4.77,2.0,3.82,2.27,4.27,2.73,2.5,5.0,3.91,1.05,1.82,1.68,1.81,1.27,2.73,4.77,3.14,1.45,2.14,1.05,4.36,4.27,1.57,3.23,2.18,1.18,1.73,1.23,1.86,1.75,2.62,4.0,1.62,4.0,2.12,1.0,1.0,1.0,1.0,3.25,2.0,3.5,3.75,1.0,1.0,1.0,2.38,3.88,4.0,1.12,4.0,2.75,1.0,3.62,1.0,3.75,4.0,3.75,3.75,3.38,1.0,4.0,1.62,1.62,1.0,3.25,1.0,1.12,3.25,3.12,3.0,1.0,1.0,1.0,2.5,1.62,3.0,3.25,1.62,4.12,3.25,"Science, Complex Problem Solving, Critical Thinking, Reading Comprehension, Mathematics, Judgment and Decision Making, Systems Analysis, Active Learning, Systems Evaluation, Speaking","Engineering and Technology, Mathematics, Chemistry, Physics, Production and Processing, Design, English Language, Computers and Electronics, Public Safety and Security, Mechanical","Written Comprehension, Oral Comprehension, Problem Sensitivity, Deductive Reasoning, Information Ordering, Category Flexibility, Mathematical Reasoning, Inductive Reasoning, Oral Expression, Fluency of Ideas"
Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",3.25,4.0,3.88,3.12,3.88,1.5,1.25,1.0,3.0,3.38,2.88,2.88,2.88,3.0,3.88,3.25,3.0,1.38,3.62,2.12,3.0,1.88,2.25,3.88,1.62,3.75,3.0,3.0,3.88,3.75,3.12,2.25,3.75,1.5,3.25,3.62,2.71,1.52,4.53,2.29,2.0,3.14,3.43,4.7,2.81,2.4,4.67,4.0,1.0,1.14,1.52,2.57,1.57,3.24,4.48,2.52,1.14,2.55,1.38,3.71,2.1,1.71,3.24,2.86,1.48,1.52,1.14,3.05,1.0,2.62,3.75,1.62,4.0,2.5,1.0,1.0,1.0,1.0,3.62,2.12,3.62,3.75,1.25,1.0,1.0,2.5,4.0,3.88,1.0,3.88,2.62,1.5,3.75,1.0,3.75,4.0,4.0,3.25,3.62,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.88,3.62,3.62,2.88,1.0,1.0,1.0,2.62,1.5,2.62,3.75,1.38,4.0,4.0,"Active Listening, Reading Comprehension, Speaking, Mathematics, Critical Thinking, Complex Problem Solving, Science, Systems Analysis, Time Management, Operations Analysis","Design, Engineering and Technology, Building and Construction, Mathematics, English Language, Physics, Administration and Management, Customer and Personal Service, Public Safety and Security, Law and Government","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Mathematical Reasoning, Fluency of Ideas"
Transportation Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",3.25,3.75,3.88,3.62,4.0,1.0,1.0,1.0,3.0,3.88,3.12,2.75,2.88,3.25,3.88,3.25,3.12,2.0,3.38,2.0,3.12,1.88,2.62,4.0,1.0,3.0,3.0,2.88,4.0,3.75,3.75,2.75,3.88,2.0,4.0,3.5,2.55,1.91,4.23,2.29,2.86,3.45,3.5,4.77,2.68,3.0,4.9,3.73,1.09,1.09,1.18,2.77,1.82,3.38,4.18,2.5,1.14,2.24,1.5,3.68,2.68,2.18,3.32,2.45,1.77,2.05,1.32,4.55,1.38,2.12,4.0,1.5,4.0,2.0,1.0,1.0,1.0,1.0,3.25,1.75,3.12,3.75,1.0,1.0,1.0,2.0,4.0,3.88,1.5,3.88,2.75,1.38,3.75,1.0,3.88,4.0,4.0,3.25,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.62,3.62,3.75,2.75,1.0,1.0,1.0,2.5,1.88,2.62,3.75,1.75,4.0,4.0,"Reading Comprehension, Writing, Speaking, Critical Thinking, Mathematics, Complex Problem Solving, Judgment and Decision Making, Time Management, Active Listening, Systems Analysis","Engineering and Technology, Design, Transportation, Building and Construction, Mathematics, English Language, Physics, Administration and Management, Customer and Personal Service, Computers and Electronics","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Category Flexibility, Information Ordering, Mathematical Reasoning"
Water/Wastewater Engineers,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",3.25,3.88,3.88,3.12,4.0,1.0,1.75,1.0,3.12,4.0,3.12,2.25,2.12,3.25,3.88,3.62,3.0,2.12,3.25,2.88,3.0,2.12,2.62,4.0,1.0,3.5,3.0,3.0,3.75,3.88,3.88,2.88,3.75,2.12,4.0,3.57,2.59,3.23,3.83,3.45,2.0,3.14,3.43,4.48,3.0,2.68,4.7,4.23,1.09,1.04,1.39,2.22,1.35,3.26,4.22,3.52,1.17,2.96,1.04,3.52,2.35,1.78,2.91,3.22,1.27,1.87,1.0,2.0,1.0,2.12,3.75,1.62,4.0,2.0,1.0,1.0,1.0,1.0,3.12,1.62,3.25,3.88,1.0,1.0,1.0,2.0,4.0,4.0,1.0,3.88,2.38,1.38,3.75,1.0,3.75,4.0,4.0,3.62,2.88,1.0,3.88,1.0,1.0,1.0,3.12,1.0,1.5,3.38,3.25,2.75,1.0,1.0,1.0,2.88,1.38,2.12,3.75,1.12,4.0,4.0,"Reading Comprehension, Writing, Critical Thinking, Judgment and Decision Making, Active Listening, Mathematics, Complex Problem Solving, Systems Analysis, Systems Evaluation, Speaking","Engineering and Technology, Design, English Language, Mathematics, Building and Construction, Administration and Management, Mechanical, Physics, Chemistry, Customer and Personal Service","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning, Information Ordering, Fluency of Ideas, Problem Sensitivity, Mathematical Reasoning"
Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",3.75,3.88,3.88,3.12,4.0,2.12,2.5,1.88,3.0,3.62,2.88,1.75,1.88,2.62,3.25,3.12,2.25,1.75,3.38,3.0,2.62,2.5,2.88,4.0,2.12,2.88,2.62,2.75,3.88,3.38,3.38,2.62,3.12,2.62,3.88,2.72,2.31,1.41,1.24,2.03,2.38,4.71,2.21,4.14,1.9,2.9,4.66,3.79,1.1,1.07,1.48,1.31,1.17,2.25,4.14,2.07,1.38,2.14,1.24,3.43,2.83,1.71,2.28,2.04,1.31,3.1,1.25,1.52,2.12,2.0,3.5,2.12,4.0,1.88,1.0,1.0,1.0,1.38,2.5,2.62,3.12,3.25,1.0,1.0,1.0,1.88,4.0,4.0,2.25,3.12,2.75,1.0,3.62,1.0,3.12,4.0,4.0,3.5,2.88,1.0,3.88,1.0,1.0,1.0,2.88,1.12,1.0,3.38,3.25,2.12,1.0,1.0,1.0,2.12,1.5,2.5,3.25,1.5,4.0,3.75,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Complex Problem Solving, Active Learning, Judgment and Decision Making, Operations Analysis, Systems Analysis","Computers and Electronics, Engineering and Technology, Design, Mathematics, English Language, Physics, Telecommunications, Education and Training, Production and Processing, Administration and Management","Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Information Ordering, Problem Sensitivity, Written Expression, Near Vision, Originality"
Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",3.88,3.88,3.88,3.25,4.0,2.0,2.12,1.0,3.0,3.25,3.0,2.38,2.25,3.0,3.38,3.5,2.75,1.38,3.12,2.88,2.88,2.12,3.0,4.0,2.0,3.0,2.75,3.0,3.88,3.25,3.25,2.25,3.0,2.75,4.12,2.89,2.9,1.15,2.3,2.36,2.42,4.67,3.1,4.11,2.31,2.87,4.74,3.77,1.1,1.33,1.56,1.8,1.3,2.37,3.72,3.19,1.29,2.29,1.37,3.58,3.25,1.75,3.18,2.2,1.42,2.61,1.28,2.12,2.0,2.12,3.88,2.12,4.0,2.0,1.0,1.5,1.0,1.38,3.0,2.12,3.0,3.25,1.0,1.0,1.0,2.12,4.0,3.88,2.12,3.5,2.75,1.0,3.75,1.0,3.38,4.0,4.0,3.25,3.12,1.12,4.0,1.0,1.12,1.0,3.12,1.12,1.12,3.25,3.62,2.12,1.0,1.0,1.0,2.88,1.75,2.75,3.12,1.62,4.12,4.12,"Writing, Reading Comprehension, Critical Thinking, Active Listening, Speaking, Active Learning, Complex Problem Solving, Monitoring, Mathematics, Coordination","Engineering and Technology, Computers and Electronics, Design, English Language, Mathematics, Physics, Production and Processing, Mechanical, Public Safety and Security, Customer and Personal Service","Written Comprehension, Written Expression, Oral Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Category Flexibility, Near Vision"
"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",3.12,3.75,4.0,3.0,4.0,2.88,2.88,1.62,3.0,3.75,3.0,2.0,2.75,2.75,3.5,3.38,2.75,2.88,3.25,3.0,2.88,2.75,3.12,4.0,2.75,3.0,2.88,2.88,3.88,3.75,3.38,3.0,2.75,3.0,3.5,2.72,2.1,1.35,2.11,2.4,1.76,4.55,2.62,4.34,1.94,3.01,4.75,3.75,1.13,1.0,1.51,1.48,1.15,2.65,4.04,3.2,1.31,2.11,1.09,3.17,2.82,1.5,2.4,2.16,1.33,2.51,1.4,1.42,3.0,1.88,3.5,2.5,4.0,1.88,1.0,1.25,1.0,1.75,2.75,3.0,3.12,3.5,1.0,1.0,1.12,2.62,4.0,4.0,2.88,3.75,2.75,1.62,4.0,1.0,3.25,4.0,4.0,3.38,3.0,1.0,3.88,1.75,1.75,1.62,2.88,1.0,1.0,3.12,3.25,3.0,1.0,1.25,1.5,2.75,1.75,2.88,3.38,2.0,4.0,3.88,"Reading Comprehension, Critical Thinking, Complex Problem Solving, Speaking, Active Listening, Judgment and Decision Making, Systems Analysis, Writing, Mathematics, Monitoring","Engineering and Technology, Computers and Electronics, Design, Mathematics, English Language, Mechanical, Physics, Education and Training, Production and Processing, Administration and Management","Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Information Ordering, Near Vision, Written Expression, Problem Sensitivity, Mathematical Reasoning"
Radio Frequency Identification Device Specialists,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,3.12,3.75,3.38,3.12,3.88,2.0,2.5,2.0,3.0,3.38,2.62,1.88,1.88,2.75,2.62,3.12,2.5,2.25,2.62,2.75,2.88,2.5,2.75,3.62,2.0,2.0,2.75,3.0,3.75,3.25,2.88,2.5,3.0,2.38,3.25,3.45,2.47,1.5,2.12,1.78,2.79,4.8,3.59,3.7,2.22,3.54,4.56,4.22,1.34,1.22,1.69,1.94,1.34,2.08,3.53,2.43,1.48,2.27,1.47,2.78,3.01,2.06,2.26,3.0,1.59,3.38,1.51,2.4,2.12,2.12,3.25,2.25,4.0,1.88,1.0,1.0,1.0,1.88,2.62,2.25,2.75,3.25,1.0,1.0,1.0,2.12,3.88,3.75,2.12,2.88,2.12,1.25,3.75,1.0,2.88,4.0,3.75,3.0,2.38,1.0,4.0,1.62,1.75,1.0,2.88,1.0,1.12,3.62,3.62,2.12,1.12,1.0,1.12,2.25,2.25,2.38,2.88,2.0,3.88,3.38,"Critical Thinking, Active Listening, Speaking, Reading Comprehension, Complex Problem Solving, Judgment and Decision Making, Writing, Systems Analysis, Active Learning, Monitoring","Computers and Electronics, Engineering and Technology, English Language, Design, Customer and Personal Service, Education and Training, Mathematics, Administration and Management, Telecommunications, Production and Processing","Oral Comprehension, Problem Sensitivity, Deductive Reasoning, Written Comprehension, Inductive Reasoning, Oral Expression, Information Ordering, Near Vision, Speech Recognition, Speech Clarity"
Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",3.75,4.0,3.88,3.75,4.0,1.0,1.0,1.0,3.0,3.88,3.0,2.25,2.25,2.75,3.38,4.0,3.0,2.0,2.5,2.62,3.0,1.62,2.62,4.0,1.0,3.38,2.88,3.0,4.0,3.25,3.25,1.62,3.25,1.62,4.0,3.29,2.43,3.62,3.86,4.05,2.45,3.6,3.62,4.62,3.1,3.0,4.95,3.81,1.1,1.33,1.35,2.62,1.5,3.4,4.0,3.33,1.4,2.65,1.14,3.76,2.38,1.95,3.05,2.9,1.71,2.38,1.19,2.19,1.0,1.75,3.12,1.0,4.0,1.75,1.0,1.0,1.0,1.0,2.88,1.38,3.12,3.75,1.0,1.0,1.0,1.62,4.0,3.62,1.0,3.12,3.0,1.0,3.62,1.0,3.25,4.0,4.0,3.62,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.12,3.62,3.62,2.88,1.0,1.0,1.0,2.75,1.88,2.5,3.0,1.75,4.0,4.0,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Monitoring, Complex Problem Solving, Judgment and Decision Making, Active Learning, Coordination","Engineering and Technology, Design, Chemistry, Mathematics, Building and Construction, English Language, Physics, Customer and Personal Service, Biology, Computers and Electronics","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Fluency of Ideas, Originality, Information Ordering"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",3.25,3.75,3.62,3.0,3.75,1.0,1.0,1.0,3.38,3.62,3.25,1.88,1.88,2.62,2.88,3.38,3.0,2.25,1.75,2.62,3.0,1.88,2.62,4.0,1.0,2.5,3.12,3.12,3.62,3.62,3.5,1.88,3.12,2.0,3.75,3.73,3.21,2.88,3.12,3.42,2.71,3.02,3.7,3.38,2.5,3.56,3.84,3.89,1.25,1.75,1.97,2.21,1.8,3.66,3.46,3.54,2.17,3.05,1.77,3.19,3.34,3.09,3.7,2.55,2.4,2.29,2.1,2.73,1.62,2.5,3.5,1.75,4.0,2.12,1.12,1.5,1.62,1.62,3.38,1.12,3.38,3.5,1.88,1.62,1.88,2.75,4.12,3.38,1.0,2.62,2.38,1.75,3.5,1.88,2.5,4.0,3.88,3.38,3.0,1.88,3.88,1.62,1.88,1.88,3.38,1.88,2.0,3.62,3.5,2.75,1.12,1.62,1.75,2.75,1.88,3.0,2.88,1.88,3.88,3.62,"Reading Comprehension, Active Listening, Writing, Critical Thinking, Speaking, Complex Problem Solving, Judgment and Decision Making, Systems Analysis, Systems Evaluation, Monitoring","English Language, Engineering and Technology, Administration and Management, Customer and Personal Service, Public Safety and Security, Law and Government, Education and Training, Mechanical, Mathematics, Chemistry","Inductive Reasoning, Oral Comprehension, Deductive Reasoning, Written Comprehension, Oral Expression, Problem Sensitivity, Written Expression, Speech Clarity, Fluency of Ideas, Category Flexibility"
Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",3.62,3.88,3.75,3.0,4.12,1.0,1.88,1.0,3.0,3.88,2.88,2.62,2.62,3.0,2.88,3.0,2.88,2.12,3.62,2.88,3.12,1.88,3.25,4.0,1.0,3.5,3.0,3.0,3.88,3.75,3.75,2.75,3.38,2.75,3.88,3.1,2.75,1.6,4.4,3.5,2.42,3.0,3.6,4.65,2.5,2.8,4.68,4.1,1.05,1.2,1.45,1.9,1.3,3.35,4.2,3.3,1.25,2.6,1.1,3.95,2.4,2.3,3.79,2.6,1.55,2.25,1.05,1.7,1.0,2.5,3.88,1.75,4.0,2.25,1.0,1.25,1.38,1.25,3.12,2.12,3.75,3.12,1.0,1.25,1.25,2.5,3.88,3.88,1.0,3.0,2.62,1.88,3.75,1.0,3.0,3.88,4.0,3.25,3.0,1.0,4.0,1.0,1.0,1.0,3.12,1.0,1.25,3.75,3.75,2.75,1.0,1.25,1.5,2.62,1.5,3.0,3.25,1.12,4.0,3.88,"Critical Thinking, Reading Comprehension, Active Listening, Writing, Speaking, Judgment and Decision Making, Complex Problem Solving, Systems Analysis, Systems Evaluation, Active Learning","Engineering and Technology, Design, Building and Construction, Mathematics, English Language, Physics, Public Safety and Security, Customer and Personal Service, Chemistry, Law and Government","Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Oral Comprehension, Written Expression, Inductive Reasoning, Information Ordering, Category Flexibility, Flexibility of Closure"
Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",3.25,4.0,3.88,3.12,4.0,1.0,1.25,1.0,3.0,3.12,2.75,2.12,2.5,2.88,3.25,3.38,2.38,2.25,2.5,2.38,2.62,1.88,2.25,4.0,1.0,2.12,2.75,3.0,3.88,3.25,3.25,2.12,3.0,2.0,3.75,3.45,3.01,1.5,2.86,2.65,2.25,3.77,3.42,4.08,2.56,3.34,4.41,3.96,1.34,1.35,1.28,1.54,1.29,2.62,3.89,4.2,1.4,2.81,1.3,3.1,4.28,2.29,3.12,2.35,1.57,2.16,1.31,2.28,2.12,2.62,3.38,2.0,4.0,2.0,1.0,1.12,1.12,1.25,3.0,1.88,3.0,3.25,1.0,1.25,1.12,2.5,4.0,3.62,1.12,3.12,2.12,2.0,3.62,1.12,3.12,4.0,4.0,3.25,2.75,1.0,3.88,1.88,2.0,1.62,3.38,1.0,1.38,3.25,3.25,2.12,1.0,1.38,1.38,2.75,1.75,2.75,3.12,1.75,4.0,4.0,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Complex Problem Solving, Writing, Monitoring, Mathematics, Active Learning, Systems Analysis","Engineering and Technology, Production and Processing, Mechanical, Design, English Language, Mathematics, Computers and Electronics, Administration and Management, Customer and Personal Service, Education and Training","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning, Problem Sensitivity, Information Ordering, Near Vision, Category Flexibility"
Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",3.75,4.0,4.0,3.0,4.0,1.0,1.75,1.0,3.12,3.62,3.25,2.0,1.88,2.88,3.5,3.5,2.88,1.62,3.25,2.25,2.88,2.25,2.62,4.0,1.0,3.25,3.0,3.38,4.0,3.25,3.62,3.12,3.12,2.0,4.0,3.0,2.3,2.65,1.75,2.05,2.65,3.0,3.45,3.85,2.2,3.65,3.8,4.0,1.3,1.37,1.7,1.6,1.55,2.3,3.55,2.65,2.45,2.5,1.6,2.8,3.0,4.16,2.68,2.5,3.05,2.1,2.1,2.25,1.38,2.12,3.75,1.0,4.0,1.88,1.12,1.38,1.38,1.38,3.12,1.25,3.0,3.88,1.0,1.25,1.25,1.75,4.0,3.88,1.0,3.5,2.75,1.25,3.5,1.12,3.25,4.0,4.0,3.62,3.0,1.12,3.88,1.0,1.0,1.0,2.88,1.0,1.75,3.62,3.38,3.0,1.0,1.38,1.38,2.25,1.75,2.25,3.25,1.62,4.0,4.0,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Complex Problem Solving, Active Learning, Judgment and Decision Making, Systems Evaluation, Mathematics","Psychology, English Language, Design, Engineering and Technology, Education and Training, Mathematics, Customer and Personal Service, Sociology and Anthropology, Administration and Management, Production and Processing","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning, Fluency of Ideas, Problem Sensitivity, Information Ordering, Category Flexibility"
