Title,Description,skill_profile,corpus
Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.","Reading Comprehension, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Speaking, Management of Financial Resources, Active Listening, Monitoring, Mathematics, Writing","treasurers and controllers is a job whose key responsibility is to direct financial activities, such as planning, procurement, and investments for all or part of an organization.. the required skills are reading comprehension, critical thinking, complex problem solving, judgment and decision making, speaking, management of financial resources, active listening, monitoring, mathematics, writing"
Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.","Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making, Active Learning, Complex Problem Solving, Writing, Monitoring, Mathematics","investment fund managers is a job whose key responsibility is to plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.. the required skills are reading comprehension, active listening, critical thinking, speaking, judgment and decision making, active learning, complex problem solving, writing, monitoring, mathematics"
Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.","Speaking, Critical Thinking, Monitoring, Coordination, Judgment and Decision Making, Reading Comprehension, Active Listening, Time Management, Management of Personnel Resources, Learning Strategies","industrial production managers is a job whose key responsibility is to plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.. the required skills are speaking, critical thinking, monitoring, coordination, judgment and decision making, reading comprehension, active listening, time management, management of personnel resources, learning strategies"
Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.","Reading Comprehension, Quality Control Analysis, Judgment and Decision Making, Active Listening, Writing, Speaking, Monitoring, Critical Thinking, Coordination, Complex Problem Solving","quality control systems managers is a job whose key responsibility is to plan, direct, or coordinate quality assurance programs. formulate quality control policies and control quality of laboratory and production efforts.. the required skills are reading comprehension, quality control analysis, judgment and decision making, active listening, writing, speaking, monitoring, critical thinking, coordination, complex problem solving"
Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,"Critical Thinking, Reading Comprehension, Speaking, Monitoring, Coordination, Judgment and Decision Making, Active Listening, Writing, Complex Problem Solving, Time Management","geothermal production managers is a job whose key responsibility is to manage operations at geothermal power generation facilities. maintain and monitor geothermal plant equipment for efficient and safe plant operations.. the required skills are critical thinking, reading comprehension, speaking, monitoring, coordination, judgment and decision making, active listening, writing, complex problem solving, time management"
Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.","Reading Comprehension, Critical Thinking, Management of Personnel Resources, Active Listening, Monitoring, Speaking, Coordination, Writing, Judgment and Decision Making, Time Management","biofuels production managers is a job whose key responsibility is to manage biofuels production and plant operations. collect and process information on plant production and performance, diagnose problems, and design corrective procedures.. the required skills are reading comprehension, critical thinking, management of personnel resources, active listening, monitoring, speaking, coordination, writing, judgment and decision making, time management"
Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.","Speaking, Critical Thinking, Reading Comprehension, Active Listening, Monitoring, Coordination, Complex Problem Solving, Judgment and Decision Making, Management of Personnel Resources, Time Management","biomass power plant managers is a job whose key responsibility is to manage operations at biomass power generation facilities. direct work activities at plant, including supervision of operations and maintenance staff.. the required skills are speaking, critical thinking, reading comprehension, active listening, monitoring, coordination, complex problem solving, judgment and decision making, management of personnel resources, time management"
Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,"Active Listening, Speaking, Reading Comprehension, Monitoring, Judgment and Decision Making, Critical Thinking, Time Management, Management of Personnel Resources, Active Learning, Learning Strategies","hydroelectric production managers is a job whose key responsibility is to manage operations at hydroelectric power generation facilities. maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.. the required skills are active listening, speaking, reading comprehension, monitoring, judgment and decision making, critical thinking, time management, management of personnel resources, active learning, learning strategies"
Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.","Active Listening, Speaking, Management of Personnel Resources, Reading Comprehension, Writing, Monitoring, Social Perceptiveness, Negotiation, Time Management, Critical Thinking","purchasing managers is a job whose key responsibility is to plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. includes wholesale or retail trade merchandising managers and procurement managers.. the required skills are active listening, speaking, management of personnel resources, reading comprehension, writing, monitoring, social perceptiveness, negotiation, time management, critical thinking"
"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.","Reading Comprehension, Active Listening, Monitoring, Coordination, Writing, Speaking, Critical Thinking, Active Learning, Negotiation, Instructing","transportation, storage, and distribution managers is a job whose key responsibility is to plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. includes logistics managers.. the required skills are reading comprehension, active listening, monitoring, coordination, writing, speaking, critical thinking, active learning, negotiation, instructing"
Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.","Reading Comprehension, Active Listening, Speaking, Monitoring, Coordination, Judgment and Decision Making, Time Management, Writing, Critical Thinking, Complex Problem Solving","supply chain managers is a job whose key responsibility is to direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. examine existing procedures or opportunities for streamlining activities to meet product distribution needs. direct the movement, storage, or processing of inventory.. the required skills are reading comprehension, active listening, speaking, monitoring, coordination, judgment and decision making, time management, writing, critical thinking, complex problem solving"
Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.","Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Judgment and Decision Making, Active Learning, Time Management, Management of Personnel Resources, Social Perceptiveness","compensation and benefits managers is a job whose key responsibility is to plan, direct, or coordinate compensation and benefits activities of an organization.. the required skills are reading comprehension, active listening, writing, speaking, critical thinking, judgment and decision making, active learning, time management, management of personnel resources, social perceptiveness"
Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.","Active Listening, Speaking, Management of Personnel Resources, Reading Comprehension, Judgment and Decision Making, Writing, Social Perceptiveness, Coordination, Negotiation, Complex Problem Solving","human resources managers is a job whose key responsibility is to plan, direct, or coordinate human resources activities and staff of an organization.. the required skills are active listening, speaking, management of personnel resources, reading comprehension, judgment and decision making, writing, social perceptiveness, coordination, negotiation, complex problem solving"
Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.","Learning Strategies, Reading Comprehension, Active Listening, Speaking, Instructing, Writing, Monitoring, Social Perceptiveness, Coordination, Critical Thinking","training and development managers is a job whose key responsibility is to plan, direct, or coordinate the training and development activities and staff of an organization.. the required skills are learning strategies, reading comprehension, active listening, speaking, instructing, writing, monitoring, social perceptiveness, coordination, critical thinking"
"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.","Active Listening, Critical Thinking, Reading Comprehension, Speaking, Complex Problem Solving, Management of Personnel Resources, Coordination, Judgment and Decision Making, Active Learning, Monitoring","farmers, ranchers, and other agricultural managers is a job whose key responsibility is to plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. may hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. may engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.. the required skills are active listening, critical thinking, reading comprehension, speaking, complex problem solving, management of personnel resources, coordination, judgment and decision making, active learning, monitoring"
Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","Coordination, Management of Personnel Resources, Active Listening, Speaking, Monitoring, Time Management, Reading Comprehension, Critical Thinking, Complex Problem Solving, Judgment and Decision Making","construction managers is a job whose key responsibility is to plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. includes managers in specialized construction fields, such as carpentry or plumbing.. the required skills are coordination, management of personnel resources, active listening, speaking, monitoring, time management, reading comprehension, critical thinking, complex problem solving, judgment and decision making"
"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Monitoring, Coordination, Social Perceptiveness, Instructing, Service Orientation, Complex Problem Solving","education and childcare administrators, preschool and daycare is a job whose key responsibility is to plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.. the required skills are reading comprehension, active listening, speaking, critical thinking, monitoring, coordination, social perceptiveness, instructing, service orientation, complex problem solving"
"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","Active Listening, Speaking, Reading Comprehension, Critical Thinking, Learning Strategies, Social Perceptiveness, Writing, Judgment and Decision Making, Monitoring, Coordination","education administrators, kindergarten through secondary is a job whose key responsibility is to plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.. the required skills are active listening, speaking, reading comprehension, critical thinking, learning strategies, social perceptiveness, writing, judgment and decision making, monitoring, coordination"
"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Monitoring, Instructing, Time Management, Active Learning, Complex Problem Solving","education administrators, postsecondary is a job whose key responsibility is to plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.. the required skills are reading comprehension, critical thinking, active listening, writing, speaking, monitoring, instructing, time management, active learning, complex problem solving"
Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.","Reading Comprehension, Active Listening, Writing, Speaking, Complex Problem Solving, Mathematics, Critical Thinking, Active Learning, Judgment and Decision Making, Time Management","architectural and engineering managers is a job whose key responsibility is to plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.. the required skills are reading comprehension, active listening, writing, speaking, complex problem solving, mathematics, critical thinking, active learning, judgment and decision making, time management"
Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.","Reading Comprehension, Writing, Speaking, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Systems Analysis, Active Listening, Systems Evaluation, Active Learning","biofuels/biodiesel technology and product development managers is a job whose key responsibility is to define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.. the required skills are reading comprehension, writing, speaking, critical thinking, complex problem solving, judgment and decision making, systems analysis, active listening, systems evaluation, active learning"
Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.","Service Orientation, Active Listening, Speaking, Monitoring, Management of Personnel Resources, Reading Comprehension, Critical Thinking, Social Perceptiveness, Coordination, Time Management","food service managers is a job whose key responsibility is to plan, direct, or coordinate activities of an organization or department that serves food and beverages.. the required skills are service orientation, active listening, speaking, monitoring, management of personnel resources, reading comprehension, critical thinking, social perceptiveness, coordination, time management"
Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.","Critical Thinking, Management of Personnel Resources, Speaking, Monitoring, Active Listening, Social Perceptiveness, Coordination, Service Orientation, Complex Problem Solving, Judgment and Decision Making","gambling managers is a job whose key responsibility is to plan, direct, or coordinate gambling operations in a casino. may formulate house rules.. the required skills are critical thinking, management of personnel resources, speaking, monitoring, active listening, social perceptiveness, coordination, service orientation, complex problem solving, judgment and decision making"
Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.","Active Listening, Service Orientation, Speaking, Social Perceptiveness, Management of Personnel Resources, Reading Comprehension, Writing, Coordination, Negotiation, Critical Thinking","lodging managers is a job whose key responsibility is to plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.. the required skills are active listening, service orientation, speaking, social perceptiveness, management of personnel resources, reading comprehension, writing, coordination, negotiation, critical thinking"
Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.","Speaking, Critical Thinking, Reading Comprehension, Active Listening, Writing, Monitoring, Social Perceptiveness, Complex Problem Solving, Judgment and Decision Making, Time Management","medical and health services managers is a job whose key responsibility is to plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.. the required skills are speaking, critical thinking, reading comprehension, active listening, writing, monitoring, social perceptiveness, complex problem solving, judgment and decision making, time management"
Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.","Science, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Writing, Speaking, Complex Problem Solving, Judgment and Decision Making, Management of Personnel Resources","natural sciences managers is a job whose key responsibility is to plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.. the required skills are science, reading comprehension, active listening, critical thinking, monitoring, writing, speaking, complex problem solving, judgment and decision making, management of personnel resources"
Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.","Reading Comprehension, Active Listening, Writing, Speaking, Coordination, Critical Thinking, Monitoring, Social Perceptiveness, Complex Problem Solving, Judgment and Decision Making","clinical research coordinators is a job whose key responsibility is to plan, direct, or coordinate clinical research projects. direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. may evaluate and analyze clinical data.. the required skills are reading comprehension, active listening, writing, speaking, coordination, critical thinking, monitoring, social perceptiveness, complex problem solving, judgment and decision making"
Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.","Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Judgment and Decision Making, Time Management, Complex Problem Solving, Systems Analysis, Systems Evaluation","water resource specialists is a job whose key responsibility is to design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.. the required skills are reading comprehension, active listening, writing, speaking, critical thinking, judgment and decision making, time management, complex problem solving, systems analysis, systems evaluation"
Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.","Reading Comprehension, Active Listening, Speaking, Social Perceptiveness, Coordination, Time Management, Management of Personnel Resources, Critical Thinking, Monitoring, Negotiation","postmasters and mail superintendents is a job whose key responsibility is to plan, direct, or coordinate operational, administrative, management, and support services of a u.s. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.. the required skills are reading comprehension, active listening, speaking, social perceptiveness, coordination, time management, management of personnel resources, critical thinking, monitoring, negotiation"
"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).","Speaking, Reading Comprehension, Active Listening, Writing, Coordination, Critical Thinking, Negotiation, Social Perceptiveness, Persuasion, Monitoring","property, real estate, and community association managers is a job whose key responsibility is to plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).. the required skills are speaking, reading comprehension, active listening, writing, coordination, critical thinking, negotiation, social perceptiveness, persuasion, monitoring"
Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.","Social Perceptiveness, Service Orientation, Active Listening, Critical Thinking, Active Learning, Monitoring, Coordination, Complex Problem Solving, Judgment and Decision Making, Time Management","social and community service managers is a job whose key responsibility is to plan, direct, or coordinate the activities of a social service program or community outreach organization. oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. work may involve directing social workers, counselors, or probation officers.. the required skills are social perceptiveness, service orientation, active listening, critical thinking, active learning, monitoring, coordination, complex problem solving, judgment and decision making, time management"
Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.","Service Orientation, Speaking, Complex Problem Solving, Reading Comprehension, Active Listening, Writing, Critical Thinking, Monitoring, Social Perceptiveness, Coordination","emergency management directors is a job whose key responsibility is to plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.. the required skills are service orientation, speaking, complex problem solving, reading comprehension, active listening, writing, critical thinking, monitoring, social perceptiveness, coordination"
Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.","Service Orientation, Active Listening, Social Perceptiveness, Reading Comprehension, Time Management, Speaking, Critical Thinking, Judgment and Decision Making, Management of Personnel Resources, Monitoring","funeral home managers is a job whose key responsibility is to plan, direct, or coordinate the services or resources of funeral homes. includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.. the required skills are service orientation, active listening, social perceptiveness, reading comprehension, time management, speaking, critical thinking, judgment and decision making, management of personnel resources, monitoring"
Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.","Speaking, Active Listening, Social Perceptiveness, Coordination, Service Orientation, Reading Comprehension, Critical Thinking, Writing, Management of Personnel Resources, Active Learning","fitness and wellness coordinators is a job whose key responsibility is to manage or coordinate fitness and wellness programs and services. manage and train staff of wellness specialists, health educators, or fitness instructors.. the required skills are speaking, active listening, social perceptiveness, coordination, service orientation, reading comprehension, critical thinking, writing, management of personnel resources, active learning"
Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.","Speaking, Monitoring, Coordination, Critical Thinking, Social Perceptiveness, Service Orientation, Management of Personnel Resources, Active Listening, Persuasion, Judgment and Decision Making","spa managers is a job whose key responsibility is to plan, direct, or coordinate activities of a spa facility. coordinate programs, schedule and direct staff, and oversee financial activities.. the required skills are speaking, monitoring, coordination, critical thinking, social perceptiveness, service orientation, management of personnel resources, active listening, persuasion, judgment and decision making"
Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.","Writing, Reading Comprehension, Active Listening, Speaking, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Systems Analysis, Systems Evaluation, Monitoring","regulatory affairs managers is a job whose key responsibility is to plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.. the required skills are writing, reading comprehension, active listening, speaking, critical thinking, complex problem solving, judgment and decision making, systems analysis, systems evaluation, monitoring"
Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.","Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Active Learning, Monitoring, Coordination, Persuasion, Social Perceptiveness","compliance managers is a job whose key responsibility is to plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.. the required skills are reading comprehension, critical thinking, active listening, writing, speaking, active learning, monitoring, coordination, persuasion, social perceptiveness"
Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Monitoring, Instructing, Complex Problem Solving, Judgment and Decision Making, Time Management, Writing","loss prevention managers is a job whose key responsibility is to plan and direct policies, procedures, or systems to prevent the loss of assets. determine risk exposure or potential liability, and develop risk control measures.. the required skills are reading comprehension, active listening, speaking, critical thinking, monitoring, instructing, complex problem solving, judgment and decision making, time management, writing"
Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.","Active Listening, Reading Comprehension, Speaking, Critical Thinking, Monitoring, Writing, Social Perceptiveness, Management of Personnel Resources, Coordination, Persuasion","wind energy operations managers is a job whose key responsibility is to manage wind field operations, including personnel, maintenance activities, financial activities, and planning.. the required skills are active listening, reading comprehension, speaking, critical thinking, monitoring, writing, social perceptiveness, management of personnel resources, coordination, persuasion"
